question,position,job_title,company,year,source,company_type,seniority,Subject,Model Answer,Hint Suggestion,Approach Suggestion
How do you approach problem solving related to data structure and algorithm?,Software Engineer,Software Development Engineer (SDE) II,Amazon,2022,manual,bigtech,mid,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'How do you approach problem solving related to data structure and algorithm?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you give an example of a design project you worked on?,Software Engineer,Software Development Engineer (SDE) II,Amazon,2022,manual,bigtech,mid,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you give an example of a design project you worked on?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
"Can you explain your experience with sorting algorithms, data structures, and searching concepts?",Software Engineer,Software Development Engineer (SDE) II,Amazon,2022,manual,bigtech,mid,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.","Identify the main concept in: 'Can you explain your experience with sorting algorithms, data structures, and searching concepts?'. What problem does it solve?","Answer in 3 parts: definition, working, and example."
Can you explain your problem-solving approach for standardized Amazon interview questions?,Software Engineer,SDE 1,Amazon,2022,manual,bigtech,junior,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you explain your problem-solving approach for standardized Amazon interview questions?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Find the maximum sum of a subsequence in an array such that no two elements are adjacent.,Software Engineer,Software Development Engineer,Amazon,2022,manual,bigtech,mid,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'Find the maximum sum of a subsequence in an array such that no two elements are adjacent.'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Is your day to day work involved with ETL or Data Warehouse?,Data Engineer,Data Engineer,Amazon,2022,manual,bigtech,mid,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Is your day to day work involved with ETL or Data Warehouse?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Do you have experience building dashboards or data visualizations? Please describe.,Data Engineer,Data Engineer,Amazon,2022,manual,bigtech,mid,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Do you have experience building dashboards or data visualizations? Please describe.'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Give us an example of how you've used data visualization tools without providing confidential information.,Data Engineer,Data Engineer,Amazon,2022,manual,bigtech,mid,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Give us an example of how you've used data visualization tools without providing confidential information.'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Rate yourself on a scale of 1-10 in Python/R programming languages. Do you have experience using SQL in ETL or data analysis?,Data Engineer,Data Engineer,Amazon,2022,manual,bigtech,mid,DBMS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Rate yourself on a scale of 1-10 in Python/R programming languages. Do you have experience using SQL in ETL or data anal'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What is your experience with query optimization/performance tuning?,Data Engineer,Data Engineer,Amazon,2022,manual,bigtech,mid,General CS,"Your experience with query optimization/performance tuning is a fundamental concept in computer science explaining how a component or system works.
Include definition, working and example for full marks.",Identify the main concept in: 'What is your experience with query optimization/performance tuning?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Describe how you have used data to inform decision making. Do you have any project lead and management experience?,Data Engineer,Data Engineer,Amazon,2022,manual,bigtech,mid,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Describe how you have used data to inform decision making. Do you have any project lead and management experience?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain sorting and searching principles?,Software Engineer,Software Engineer,Amazon,2022,manual,bigtech,mid,Computer Networks,"This is a networking concept enabling communication between computers over a network using standardized protocols.
It ensures reliable data transmission and addressing between devices.",Identify the main concept in: 'Can you explain sorting and searching principles?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you discuss your experience with C++?,Software Engineer,Software Engineer,"Amazon, Amdocs, Bloomberg LP, Boeing, Cisco, HARMAN, HCLTech, Hexaware Technologies, IGATE, LTIMindtree, NCR Corporation, Nokia, Tata Consultancy Services, Tencent",2022,manual,bigtech,mid,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you discuss your experience with C++?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Have you worked on graph related problems before?,Software Engineer,Software Development Engineer (SDE),Amazon,2022,manual,bigtech,mid,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'Have you worked on graph related problems before?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
"Given an array of numbers, can you explain an efficient method to remove the largest and smallest numbers?",Software Engineer,Software Development Engineer (SDE) Intern,Amazon,2022,manual,bigtech,junior,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.","Identify the main concept in: 'Given an array of numbers, can you explain an efficient method to remove the largest and smallest numbers?'. What problem does it solve?","Answer in 3 parts: definition, working, and example."
Can you explain what an Operating System is?,Software Engineer,Software Engineer,"Amazon, Google, Hewlett Packard Enterprise, Infosys, Oracle, Splunk, Wipro ",2022,manual,bigtech,mid,Operating System,"An Operating System is system software that manages hardware resources, memory, processes and files.
It acts as an interface between user and hardware and runs application programs.
Examples: Windows, Linux, Android.",Identify the main concept in: 'Can you explain what an Operating System is?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Do you have experience with troubleshooting technical issues?,SysOps Engineer,Cloud Support Associate,Amazon,2022,manual,bigtech,junior,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Do you have experience with troubleshooting technical issues?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain the Two Sum problem?,ML & Data,Senior Data Scientist,"Amazon, Charles Schwab, Google, Hudson River Trading, Infosys",2022,manual,bigtech,senior,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you explain the Two Sum problem?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain how to find the next smallest palindrome?,Software Engineer,Software Development Engineer,Amazon,2022,manual,bigtech,mid,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you explain how to find the next smallest palindrome?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How would you approach finding the minimum string after removing k consecutive characters?,Software Engineer,Software Development Engineer,Amazon,2022,manual,bigtech,mid,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'How would you approach finding the minimum string after removing k consecutive characters?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Discuss a method to find all numbers between two numbers in a binary tree.,Software Engineer,Software Development Engineer,Amazon,2022,manual,bigtech,mid,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'Discuss a method to find all numbers between two numbers in a binary tree.'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
