question,position,job_title,company,year,source,company_type,seniority,Subject,Model Answer,Hint Suggestion,Approach Suggestion
Can you explain currying in the context of functional programming?,Software Engineer,Software Engineer,Adobe,2022,manual,bigtech,mid,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you explain currying in the context of functional programming?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What is your experience with JavaScript?,Software Engineer,Applications Developer,"Adobe, Cybage , FIS, Fidelity Investments, Fuse, Globallogic, Hexaware Technologies, IBM , IGATE, Jio, Tata Consultancy Services, Zomato",2017,manual,bigtech,mid,Computer Networks,"This is a networking concept enabling communication between computers over a network using standardized protocols.
It ensures reliable data transmission and addressing between devices.",Identify the main concept in: 'What is your experience with JavaScript?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain object-oriented programming concepts?,QA/Testing,Test Engineer,"7-Eleven, AMD (ADVANCED MICRO DEVICES), ANZ, Accenture, Adobe, Akamai Technologies, Allianz, Altimetrik, Amadeus, Amazon, Amdocs, American Express, Aon, Atos, BNP Paribas, BYJU's, Bajaj Finserv, Bank of America, Block, Bloomberg LP, Blue Origin, Boston Consulting Group, Braze, Brillio, CGI, Capgemini, Capital One, Carelon Global Solutions, Caterpillar Inc., Cerner Corporation, Citi, CitiusTech, Coforge, Cognizant, Concentrix, Cybage , Cyient, DXC Technology, Dassault Systèmes, Dell Technologies, EPAM Systems , Epsilon, Equinix , Ericsson, FIS, FPT , FactSet, Fidelity Investments, Fiserv, GEICO, Genpact, Globallogic, Globant, Goldman Sachs, H&M, HARMAN, HCLTech, Hewlett Packard Enterprise, Hexaware Technologies, HighRadius, Honeywell, IBM , IDEMIA, IGATE, IHS Markit, IQVIA, IndusInd Bank, Infogain, Infor, Informatica, Infosys, Infosys BPM, Intel, Jio, KPIT, Kyndryl, L3Harris, LTIMindtree, Larsen & Toubro, Leidos, Luxoft, Mastercard, MathWorks, Micron Technology, Microsoft, Millennium, Moody's Corporation, Morgan Stanley, Mphasis, NCR Corporation, NICE, NTT Data, Nagarro, Newgen Software, Nokia, Nutanix, Optiver, Oracle, Parexel, PayPal, Paycom, Paytm, Persistent Systems, Philips, Plaid, Publicis Sapient, PwC , Qualcomm, SAP, Salesforce, Samsung, ServiceNow, Siemens, Standard Chartered, Starbucks Coffee Singapore, Synapsis.id, Synechron, TEKsystems, Tata Consultancy Services, Tata Elxsi, Tech Mahindra, Tesla, Texas Instruments, Thoughtworks, TikTok , UKG (Ultimate Kronos Group), UST, Ubisoft, Valeo, Virtusa, Visa, Wells Fargo, Wipro , Workday, YASH Technologies, Zensar, Zoho, eBay",2017,manual,industry,mid,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you explain object-oriented programming concepts?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What are the differences between C++ and Java?,Systems Engineer,Assistant Systems Engineer,"Adobe, Amadeus, Bloomberg LP, CGI, Cognizant, Infosys, Optum, SAP, Siemens, Tata Consultancy Services, Tata Technologies, Virtusa",2018,manual,bigtech,mid,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'What are the differences between C++ and Java?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Are you familiar with Selenium?,QA/Testing,Senior QA Automation Engineer,"Adobe, EPAM Systems , Ernst & Young (EY), Globant, IBM , Infogain, Luxoft, UBS",2021,manual,bigtech,senior,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Are you familiar with Selenium?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Do you have experience with algorithms?,Software Engineer,Sr. Software Engineer,"Adobe, Amazon Web Services (AWS), Amdocs, BlackRock, Bloomberg LP, ByteDance, Citi, Google, Hexaware Technologies, Infosys, Meta, PayPal, Salesforce, Samsung, Tokopedia, Uber, VMware, Vodafone, Wise",2018,manual,bigtech,senior,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Do you have experience with algorithms?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain smart pointers?,Software Engineer,C++ Software Engineer,"Adobe, GoTo Financial, Intel",2018,manual,bigtech,mid,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you explain smart pointers?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you design an LRU Cache?,Software Engineer,Senior Member of Technical Staff,"Adobe, Amazon, Infosys, Microsoft, Oracle, Salesforce",2019,manual,bigtech,senior,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you design an LRU Cache?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain recursive and iterative versions of string algorithms?,Software Engineer,Software Engineer,Adobe,2019,manual,bigtech,mid,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you explain recursive and iterative versions of string algorithms?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Have you worked on variations of two-sum problems?,Software Engineer,Software Engineer,Adobe,2019,manual,bigtech,mid,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Have you worked on variations of two-sum problems?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
