question,position,job_title,company,year,source,company_type,seniority,Subject,Model Answer,Hint Suggestion,Approach Suggestion
How do you reverse a string?,Software Engineer,Software Engineer,"AT&T, Apple, Avanade, CGI, Dell Technologies, Halodoc, Infosys, Meta, UST, ValueLabs, Visa, Walmart Global Tech, Zensar",2022,manual,industry,mid,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'How do you reverse a string?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How would you reverse a string?,Software Engineer,Software Developer,"ADP, AT&T, Akamai Technologies, American Express, Apple, Bloomberg LP, Capgemini, Cerner Corporation, Cognizant, Dassault Systèmes, Epsilon, Expedia Group, Goldman Sachs, HARMAN, HCLTech, IBM , Indeed, Infogain, Infosys, Microsoft, Oracle, Publicis Sapient, Salesforce, ServiceNow, Societe Generale, Starbucks Coffee Singapore, TEKsystems, Tata Consultancy Services, Thomson Reuters, Virtusa, Workday, Zendesk",2022,manual,industry,mid,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'How would you reverse a string?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What technical skills do you possess that are relevant to this position?,Software Engineer,Senior Software Engineer,"ASML, Accenture, Apple, Autodesk, Barclays, Bloomberg LP, Boeing, Broadcom Inc., Capgemini, Charles Schwab, Chime, Citi, Cloudflare, Cognizant, Databricks, Ericsson, Ernst & Young (EY), Flipkart, General Motors, GoTo Financial, Goldman Sachs, Google, HCLTech, Lyft, MetLife, Meta, Microsoft, NTT Data, Roku, Tata Consultancy Services, Tata Elxsi, Tech Mahindra, Thermo Fisher Scientific, Titansoft , Tokopedia, Wipro , Zensar, Zoho, Zühlke",2022,manual,industry,senior,Computer Networks,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'What technical skills do you possess that are relevant to this position?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
"Given a list of integers, can you determine if there is a repetition of any integer in the list?",Software Engineer,Software Engineer Intern,Apple,2022,manual,bigtech,junior,General CS,"Write a structured answer:
Definition → Working → Example → Use-case","Identify the main concept in: 'Given a list of integers, can you determine if there is a repetition of any integer in the list?'. What problem does it solve?","Answer in 3 parts: definition, working, and example."
Can you explain your understanding of Data Structures and Algorithms?,Software Engineer,Member Of Technical Staff,"Apple, Barclays, Capgemini, FactSet, Fiserv, Google, Infosys, Intel, Microsoft, NTT Data, Nutanix, Persistent Systems, SAP, Samsung, Traveloka",2017,manual,bigtech,senior,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you explain your understanding of Data Structures and Algorithms?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What is the difference between SQL and NoSQL?,Software Engineer,Software Engineer(Internship),"Allianz, Amazon Web Services (AWS), Apple, Atlassian, Cisco, DMI, Delhivery, Dell Technologies, HCLTech, Infosys, Jio, Medidata, Optum, Oracle, Paytm, Persistent Systems, Siemens",2017,manual,industry,junior,DBMS,"Key Differences:
• Definition and purpose differ
• Usage scenarios are different
• Performance/behavior varies
Provide one example for each.",Identify the main concept in: 'What is the difference between SQL and NoSQL?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How would you implement a cache?,Software Engineer,Senior Software Engineer,"Apple, NatWest Group",2017,manual,bigtech,senior,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'How would you implement a cache?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How would you implement a file synchronization system?,Software Engineer,Senior Software Engineer,Apple,2017,manual,bigtech,senior,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'How would you implement a file synchronization system?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain SQL joins?,Systems Analyst,IT Business Systems Analyst,"ABB, ADP, Amazon, Amdocs, Apple, Axis Bank, Birlasoft, CGI, Citi, Coforge, Cognizant, Delhivery, FIS, HCLTech, HDFC, Illumina, JPMorgan Chase & Co., Luxoft, Meta, Mphasis, NTT Data, Nielsen, Qualcomm, Societe Generale, Sutherland, Tata Consultancy Services, UST, Virtusa, Xerox",2017,manual,industry,mid,DBMS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you explain SQL joins?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain your approach to architecture designing for application deployment?,DevOps Engineer,Devops Engineer,Apple,2018,manual,,,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you explain your approach to architecture designing for application deployment?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
