question,position,job_title,company,year,source,company_type,seniority,Subject,Model Answer,Hint Suggestion,Approach Suggestion
Can you explain your experience with coding challenges involving recursion?,Software Engineer,Software Engineer,Meta,2022,manual,bigtech,mid,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'Can you explain your experience with coding challenges involving recursion?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How do you return the number of island border tiles in a 0-1 matrix?,Software Engineer,Software Engineer,Meta,2021,manual,bigtech,mid,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'How do you return the number of island border tiles in a 0-1 matrix?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How would you handle an array of numbers to return the number with the highest probability and remove it from the array?,Software Engineer,Software Engineer,Meta,2022,manual,bigtech,mid,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'How would you handle an array of numbers to return the number with the highest probability and remove it from the array?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain how a stack works?,Software Engineer,Software Development Engineer,"Goldman Sachs, Infosys, Meta, Samsung",2018,manual,industry,mid,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'Can you explain how a stack works?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How do you reverse a string?,Software Engineer,Software Engineer,"AT&T, Apple, Avanade, CGI, Dell Technologies, Halodoc, Infosys, Meta, UST, ValueLabs, Visa, Walmart Global Tech, Zensar",2022,manual,industry,mid,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'How do you reverse a string?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What technical skills do you possess that are relevant to this position?,Software Engineer,Senior Software Engineer,"ASML, Accenture, Apple, Autodesk, Barclays, Bloomberg LP, Boeing, Broadcom Inc., Capgemini, Charles Schwab, Chime, Citi, Cloudflare, Cognizant, Databricks, Ericsson, Ernst & Young (EY), Flipkart, General Motors, GoTo Financial, Goldman Sachs, Google, HCLTech, Lyft, MetLife, Meta, Microsoft, NTT Data, Roku, Tata Consultancy Services, Tata Elxsi, Tech Mahindra, Thermo Fisher Scientific, Titansoft , Tokopedia, Wipro , Zensar, Zoho, Zühlke",2022,manual,industry,senior,Computer Networks,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'What technical skills do you possess that are relevant to this position?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain the process of serializing and deserializing a binary tree?,Software Engineer,Senior Software Engineer,"Amazon, LinkedIn, Meta",2017,manual,bigtech,senior,Operating System,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'Can you explain the process of serializing and deserializing a binary tree?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Explain how binary search works.,Software Engineer,Software Engineer,"Amdocs, Google, IBM , Infosys, Meta, Microsoft, NIO, Palo Alto Networks, Persistent Systems, Salesforce, ServiceNow, Tata Communications, Wipro ",2017,manual,bigtech,mid,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Explain how binary search works.'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain the concept of memory management in programming?,iOS Developer,IOS Developer,Meta,2017,manual,bigtech,mid,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you explain the concept of memory management in programming?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you determine if a given string is a palindrome?,Software Engineer,Software Engineer,"Chevron, Cognizant, Deloitte, Epic, Globallogic, HCLTech, Meta, Microsoft, Oracle, Qualcomm, TOAST, Tata Consultancy Services, UKG (Ultimate Kronos Group), Yahoo",2017,manual,industry,mid,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you determine if a given string is a palindrome?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
