question,position,job_title,company,year,source,company_type,seniority,Subject,Model Answer,Hint Suggestion,Approach Suggestion
Write a function to determine if a tree is a binary tree based on the root node.,Full Stack Developer,Full Stack Software Engineer,Uber,2017,manual,bigtech,mid,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'Write a function to determine if a tree is a binary tree based on the root node.'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain your experience with graph and string algorithms?,Software Engineer,Software Development Engineer (SDE),Uber,2018,manual,,,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'Can you explain your experience with graph and string algorithms?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain how Dijkstra's algorithm works?,Software Engineer,Software Developer,"BlackRock, Google, Meta, SAP, Uber",2018,manual,industry,mid,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you explain how Dijkstra's algorithm works?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
When would you implement a Queue?,Software Engineer,Software Engineer,Uber,2018,manual,bigtech,mid,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'When would you implement a Queue?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What is the main difference between a Set and a List?,Software Engineer,Software Engineer,Uber,2018,manual,bigtech,mid,General CS,"Key Differences:
• Definition and purpose differ
• Usage scenarios are different
• Performance/behavior varies
Provide one example for each.",Identify the main concept in: 'What is the main difference between a Set and a List?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What is the time complexity of searching through a sorted Binary Search Tree?,Software Engineer,Software Engineer,Uber,2018,manual,bigtech,mid,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'What is the time complexity of searching through a sorted Binary Search Tree?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How would you calculate the square root of x without using the square root function?,ML & Data,Data Science,Uber,2018,manual,bigtech,mid,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'How would you calculate the square root of x without using the square root function?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What is the difference between a SQL data store and a NoSQL data store and what are their strengths?,Software Engineer,Software Engineer,Uber,2018,manual,bigtech,mid,DBMS,"Key Differences:
• Definition and purpose differ
• Usage scenarios are different
• Performance/behavior varies
Provide one example for each.",Identify the main concept in: 'What is the difference between a SQL data store and a NoSQL data store and what are their strengths?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Do you have experience with algorithms?,Software Engineer,Sr. Software Engineer,"Adobe, Amazon Web Services (AWS), Amdocs, BlackRock, Bloomberg LP, ByteDance, Citi, Google, Hexaware Technologies, Infosys, Meta, PayPal, Salesforce, Samsung, Tokopedia, Uber, VMware, Vodafone, Wise",2018,manual,bigtech,senior,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Do you have experience with algorithms?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you write an algorithm to check for cyclical dependencies in a graph?,Software Engineer,Software Engineer,Uber,2018,manual,bigtech,mid,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'Can you write an algorithm to check for cyclical dependencies in a graph?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What is the time complexity of searching through an unsorted array?,Software Engineer,Software Engineer,Uber,2018,manual,bigtech,mid,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'What is the time complexity of searching through an unsorted array?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
"Given a list of intervals and a set of numbers, how would you determine the number of intervals that contain each number?",Software Engineer,SDE1,Uber,2019,manual,bigtech,mid,General CS,"Write a structured answer:
Definition → Working → Example → Use-case","Identify the main concept in: 'Given a list of intervals and a set of numbers, how would you determine the number of intervals that contain each number'. What problem does it solve?","Answer in 3 parts: definition, working, and example."
How would you identify the rightmost node in a complete binary tree knowing only the root node?,Software Engineer,SDE1,Uber,2019,manual,bigtech,mid,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'How would you identify the rightmost node in a complete binary tree knowing only the root node?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you discuss your experience with typical big tech Leetcode style questions?,Software Engineer,Engineering Manager,Uber,2019,manual,bigtech,senior,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you discuss your experience with typical big tech Leetcode style questions?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Explain what p-values are.,ML & Data,Data Science,Uber,2019,manual,bigtech,mid,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Explain what p-values are.'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What are React hooks?,Frontend Developer,Junior Front End Developer,"DXC Technology, Globallogic, Tata Consultancy Services, Uber",2022,manual,industry,junior,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'What are React hooks?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain how you would find the indices of two numbers in an array that add up to a specific target?,Software Engineer,Software Development Engineer (SDE) Intern,"Microsoft, Uber",2019,manual,bigtech,junior,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'Can you explain how you would find the indices of two numbers in an array that add up to a specific target?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain binary trees?,Full Stack Developer,Full Stack Web Developer,"Bloomberg LP, Goldman Sachs, Google, Meta, Microsoft, Morgan Stanley, Uber",2017,manual,industry,mid,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'Can you explain binary trees?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain the lifecycle of a UIViewController?,Cross Platform (Mobile),Mobile Software Engineer,Uber,2017,manual,bigtech,mid,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you explain the lifecycle of a UIViewController?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
