question,position,jobTitle,company,year,Subject,Model Answer,Hint Suggestion,Approach Suggestion
Can you explain how to merge two sorted lists into one sorted list?,Software Engineer,Software Engineer,NVIDIA,2021,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you explain how to merge two sorted lists into one sorted list?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How would you add two integers represented as linked lists?,Cybersecurity Engineer,Systems Software(Security),NVIDIA,2018,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'How would you add two integers represented as linked lists?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you implement a convolutional layer in Python?,Software Engineer,Deep Learning Software Engineer,NVIDIA,2018,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you implement a convolutional layer in Python?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How is a virtual function implemented in a compiler?,Software Engineer,Deep Learning Software Engineer,NVIDIA,2018,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'How is a virtual function implemented in a compiler?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What is your experience with computer architecture?,Software Engineer,Deep Learning Software Engineer,NVIDIA; Qualcomm,2018,General CS,"Your experience with computer architecture is a fundamental concept in computer science explaining how a component or system works.
Include definition, working and example for full marks.",Identify the main concept in: 'What is your experience with computer architecture?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Have you worked with GPU computing before?,Software Engineer,Deep Learning Software Engineer,NVIDIA,2018,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Have you worked with GPU computing before?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What topics do you discuss during your one-on-one meetings with team members?,QA/Testing,Senior QA Manager,NVIDIA,2018,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'What topics do you discuss during your one-on-one meetings with team members?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How would you optimize the algorithm for reversing a linked list?,QA/Testing,Software QA Engineer Intern,NVIDIA,2022,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'How would you optimize the algorithm for reversing a linked list?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What is your understanding of Machine Learning?,Software Engineer,Deep Learning Software Engineer,NVIDIA,2022,General CS,"Your understanding of machine learning is a fundamental concept in computer science explaining how a component or system works.
Include definition, working and example for full marks.",Identify the main concept in: 'What is your understanding of Machine Learning?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What are the Storage Classes in C?,Software Engineer,Wlan Software Engineer,Continental; DXC Technology; KPIT; NVIDIA; Qualcomm,2017,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'What are the Storage Classes in C?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain the working process of Support Vector Machines (SVM)?,Software Engineer,Deep Learning Software Engineering,NVIDIA,2017,Operating System,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you explain the working process of Support Vector Machines (SVM)?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you create a linked list?,Software Engineer,Senior Java Developer,Apple; NVIDIA; Siemens,2017,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'Can you create a linked list?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
"How would you synchronize Laser, Camera, and Object detection results together?",Software Engineer,Software Engineer,NVIDIA,2017,General CS,"Write a structured answer:
Definition → Working → Example → Use-case","Identify the main concept in: 'How would you synchronize Laser, Camera, and Object detection results together?'. What problem does it solve?","Answer in 3 parts: definition, working, and example."
What is the difference between std::map and std::unordered_map?,Software Engineer,Software Engineer,NVIDIA,2017,General CS,"Key Differences:
• Definition and purpose differ
• Usage scenarios are different
• Performance/behavior varies
Provide one example for each.",Identify the main concept in: 'What is the difference between std::map and std::unordered_map?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How comfortable are you with Object-Oriented Programming concepts?,Software Engineer,Associate Software Engineer,Cognizant; NVIDIA,2020,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'How comfortable are you with Object-Oriented Programming concepts?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain the PC boot process?,QA/Testing,Software QA Engineer,NVIDIA,2013,Operating System,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you explain the PC boot process?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What is the number of distinct paths in a grid?,Software Engineer,Software Engineer,NVIDIA,2013,General CS,"The number of distinct paths in a grid is a fundamental concept in computer science explaining how a component or system works.
Include definition, working and example for full marks.",Identify the main concept in: 'What is the number of distinct paths in a grid?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
