question,position,job_title,company,year,source,company_type,seniority,Subject,Model Answer,Hint Suggestion,Approach Suggestion
Can you explain what dynamic programming is?,Software Engineer,Software Engineer,"Accenture, Airbnb, Amazon, Amazon Web Services (AWS), Apple, Bloomberg LP, Chevron, Citadel, Delhivery, Deutsche Bank, Epic, FactSet, Goldman Sachs, Google, Intel, Intuit, LINE Technology, McKinsey & Company, Meta, Microsoft, Nagarro, NetSuite, Nordstrom, Oracle, TikTok , VMware, Yahoo, Zoho, eBay",2018,manual,industry,mid,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'Can you explain what dynamic programming is?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain graph traversal?,Software Engineer,Software Engineer,"Airbnb, Amazon, Block, Intuit, TOAST",2022,manual,bigtech,mid,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'Can you explain graph traversal?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain the process of implementing a graph?,Software Engineer,Software Engineer,Airbnb,2017,manual,bigtech,mid,Operating System,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'Can you explain the process of implementing a graph?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
"How would you convert a string like '[1,2,3,4,5]' to an average number in integer format?",ML & Data,Data Scientist,Airbnb,2023,manual,bigtech,mid,General CS,"Write a structured answer:
Definition → Working → Example → Use-case","Identify the main concept in: 'How would you convert a string like '[1,2,3,4,5]' to an average number in integer format?'. What problem does it solve?","Answer in 3 parts: definition, working, and example."
Can you explain how you would extend an input to autocomplete on change?,Frontend Developer,Front End Developer,Airbnb,2021,manual,bigtech,mid,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you explain how you would extend an input to autocomplete on change?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How would you handle key navigation through the results?,Frontend Developer,Front End Developer,Airbnb,2021,manual,bigtech,mid,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'How would you handle key navigation through the results?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How would you store sudden-death tournament results in a compact format like a bit array?,Software Engineer,Software Engineer,Airbnb,2024,manual,bigtech,mid,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'How would you store sudden-death tournament results in a compact format like a bit array?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you sort an array of integers in a way that all odd indexes are greater than the even indexes?,Software Engineer,Software Engineer New Grad,Airbnb,2017,manual,bigtech,junior,DSA,"It is a data structure/algorithm used to organize and process data efficiently to reduce time complexity and improve performance.
Common operations include insert, delete, search and traversal.",Identify the main concept in: 'Can you sort an array of integers in a way that all odd indexes are greater than the even indexes?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you explain your experience with array manipulation?,Software Engineer,Software Engineer,"Airbnb, Esri, JPMorgan Chase & Co., Lyft, Meta, Microsoft, PayPal, Tech Mahindra, Zoho",2023,manual,bigtech,mid,Computer Networks,"This is a networking concept enabling communication between computers over a network using standardized protocols.
It ensures reliable data transmission and addressing between devices.",Identify the main concept in: 'Can you explain your experience with array manipulation?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Have you practiced algorithm questions on platforms like LeetCode?,Software Engineer,Senior Software Engineer,Airbnb,2020,manual,bigtech,senior,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Have you practiced algorithm questions on platforms like LeetCode?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How would you find all pairs of strings from a given list that can form a palindrome?,Software Engineer,Software Engineer,Airbnb,2015,manual,bigtech,mid,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'How would you find all pairs of strings from a given list that can form a palindrome?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What is your approach to solving technical problems?,Software Engineer,Software Engineering,"Airbnb, Grab",2015,manual,bigtech,mid,General CS,"Your approach to solving technical problems is a fundamental concept in computer science explaining how a component or system works.
Include definition, working and example for full marks.",Identify the main concept in: 'What is your approach to solving technical problems?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How would you check if two strings form a palindrome in concatenation in linear time?,Software Engineer,Software Developer,Airbnb,2015,manual,bigtech,mid,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'How would you check if two strings form a palindrome in concatenation in linear time?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
