question,position,jobTitle,company,year,Subject,Model Answer,Hint Suggestion,Approach Suggestion
"What role do you think data plays in product management, and how have you used data to inform your decisions in the past?",Associate Product Manager,Associate Product Manager (APM),Google,2024,General CS,"Write a structured answer:
Definition → Working → Example → Use-case","Identify the main concept in: 'What role do you think data plays in product management, and how have you used data to inform your decisions in the past'. What problem does it solve?","Answer in 3 parts: definition, working, and example."
How do you prioritize user feedback in the product development process? Can you share a relevant experience?,Associate Product Manager,Associate Product Manager (APM),Google,2024,Operating System,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'How do you prioritize user feedback in the product development process? Can you share a relevant experience?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Provide an example of a time when you received feedback on a product idea. How did it influence your approach moving forward?,Associate Product Manager,Associate Product Manager (APM),Google,2024,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Provide an example of a time when you received feedback on a product idea. How did it influence your approach moving for'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Describe a situation where you had to deal with ambiguous circumstances in a project. How did you navigate that uncertainty?,Associate Product Manager,Associate Product Manager (APM),Google,2024,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Describe a situation where you had to deal with ambiguous circumstances in a project. How did you navigate that uncertai'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
"What does 'Googleyness' mean to you, and how do you embody qualities like intellectual humility and collaboration in your work?",Associate Product Manager,Associate Product Manager (APM),Google,2024,General CS,"Write a structured answer:
Definition → Working → Example → Use-case","Identify the main concept in: 'What does 'Googleyness' mean to you, and how do you embody qualities like intellectual humility and collaboration in you'. What problem does it solve?","Answer in 3 parts: definition, working, and example."
Discuss a project where you collaborated with technical teams. How did you balance technical feasibility with user needs?,Associate Product Manager,Associate Product Manager (APM),Google,2024,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Discuss a project where you collaborated with technical teams. How did you balance technical feasibility with user needs'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
How do you ensure that user needs are at the center of your product decisions? Can you provide a specific example?,Associate Product Manager,Associate Product Manager (APM),Google,2024,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'How do you ensure that user needs are at the center of your product decisions? Can you provide a specific example?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Share an example of a time when you had to lead a team through a challenging situation. How did you approach it?,Associate Product Manager,Associate Product Manager (APM),Google,2024,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Share an example of a time when you had to lead a team through a challenging situation. How did you approach it?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you describe a product or project you've worked on in the past that had a significant impact? What was your role in that project?,Associate Product Manager,Associate Product Manager (APM),Google,2024,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you describe a product or project you've worked on in the past that had a significant impact? What was your role in '. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
"What specifically attracts you to Google, and why do you believe the Associate Product Manager program aligns with your career goals?",Associate Product Manager,Associate Product Manager (APM),Google,2024,General CS,"Write a structured answer:
Definition → Working → Example → Use-case","Identify the main concept in: 'What specifically attracts you to Google, and why do you believe the Associate Product Manager program aligns with your '. What problem does it solve?","Answer in 3 parts: definition, working, and example."
"How have you worked on developing your technical skills in programming, statistics, or machine learning?",Data Scientist Intern,Data Scientist Intern,Meta,2024,General CS,"Write a structured answer:
Definition → Working → Example → Use-case","Identify the main concept in: 'How have you worked on developing your technical skills in programming, statistics, or machine learning?'. What problem does it solve?","Answer in 3 parts: definition, working, and example."
"What are your career goals in data science, and how do you see this internship fitting into those goals?",Data Scientist Intern,Data Scientist Intern,Meta,2024,Computer Networks,"This is a networking concept enabling communication between computers over a network using standardized protocols.
It ensures reliable data transmission and addressing between devices.","Identify the main concept in: 'What are your career goals in data science, and how do you see this internship fitting into those goals?'. What problem does it solve?","Answer in 3 parts: definition, working, and example."
"What interests you about Meta's products, and what specific data challenges do you find compelling?",Data Scientist Intern,Data Scientist Intern,Meta,2024,General CS,"Write a structured answer:
Definition → Working → Example → Use-case","Identify the main concept in: 'What interests you about Meta's products, and what specific data challenges do you find compelling?'. What problem does it solve?","Answer in 3 parts: definition, working, and example."
"Tell us about a past project involving data analysis. What was your role, and what tools did you use?",Data Scientist Intern,Data Scientist Intern,Meta,2024,General CS,"Write a structured answer:
Definition → Working → Example → Use-case","Identify the main concept in: 'Tell us about a past project involving data analysis. What was your role, and what tools did you use?'. What problem does it solve?","Answer in 3 parts: definition, working, and example."
Can you describe your educational background and any relevant coursework that has prepared you for a data science role?,Data Scientist Intern,Data Scientist Intern,Meta,2024,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you describe your educational background and any relevant coursework that has prepared you for a data science role?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
"How do you measure your success in your role, and what indicators do you believe are critical in the advertising industry?",Business Development Manager,Business Development Manager,Dentsu,2023,General CS,"Write a structured answer:
Definition → Working → Example → Use-case","Identify the main concept in: 'How do you measure your success in your role, and what indicators do you believe are critical in the advertising industr'. What problem does it solve?","Answer in 3 parts: definition, working, and example."
What inspired you to pursue a career in this industry and specifically with Dentsu?,Public Relations Specialist,Public Relations Specialist,Dentsu,2024,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'What inspired you to pursue a career in this industry and specifically with Dentsu?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Have you worked with data-driven marketing strategies before? How did they impact your project outcomes?,Market Research Analyst,Market Research Analyst,Dentsu,2025,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Have you worked with data-driven marketing strategies before? How did they impact your project outcomes?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Why do you consider Dentsu to be an ideal place for you to advance your career in the advertising sector?,Digital Marketing Specialist,Digital Marketing Specialist,Dentsu,2023,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Why do you consider Dentsu to be an ideal place for you to advance your career in the advertising sector?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
What practices do you follow for self-assessment and personal growth in the context of your career?,SEO Specialist,SEO Specialist,Dentsu,2024,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'What practices do you follow for self-assessment and personal growth in the context of your career?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
"How do you ensure that your work aligns with a client's brand values and vision, based on your work history?",Graphic Designer,Senior Graphic Designer,Dentsu,2024,General CS,"Write a structured answer:
Definition → Working → Example → Use-case","Identify the main concept in: 'How do you ensure that your work aligns with a client's brand values and vision, based on your work history?'. What problem does it solve?","Answer in 3 parts: definition, working, and example."
Discuss a time when you had to lead a project under tight deadlines. How did you keep your team motivated?,Brand Manager,Brand Manager,Dentsu,2025,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Discuss a time when you had to lead a project under tight deadlines. How did you keep your team motivated?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
"In your opinion, what personal qualities are essential for success in a fast-paced agency environment like Dentsu?",Content Creator,Content Creator,Dentsu,2023,General CS,"Write a structured answer:
Definition → Working → Example → Use-case","Identify the main concept in: 'In your opinion, what personal qualities are essential for success in a fast-paced agency environment like Dentsu?'. What problem does it solve?","Answer in 3 parts: definition, working, and example."
"What is one long-term career goal you hope to achieve while working at Dentsu, and how do you plan to reach it?",Strategy Consultant,Strategy Consultant,Dentsu,2024,General CS,"One long-term career goal you hope to achieve while working at dentsu, and how do you plan to reach it is a fundamental concept in computer science explaining how a component or system works.
Include definition, working and example for full marks.","Identify the main concept in: 'What is one long-term career goal you hope to achieve while working at Dentsu, and how do you plan to reach it?'. What problem does it solve?","Answer in 3 parts: definition, working, and example."
"How do you prioritize tasks when managing multiple projects at once, and can you give an example from your past experiences?",Operations Analyst,Operations Analyst,Dentsu,2023,Computer Networks,"This is a networking concept enabling communication between computers over a network using standardized protocols.
It ensures reliable data transmission and addressing between devices.","Identify the main concept in: 'How do you prioritize tasks when managing multiple projects at once, and can you give an example from your past experien'. What problem does it solve?","Answer in 3 parts: definition, working, and example."
"What role does continuous learning play in your professional development, particularly in the context of marketing trends?",Social Media Manager,Senior Social Media Manager,Dentsu,2025,General CS,"Write a structured answer:
Definition → Working → Example → Use-case","Identify the main concept in: 'What role does continuous learning play in your professional development, particularly in the context of marketing trend'. What problem does it solve?","Answer in 3 parts: definition, working, and example."
Describe a situation where you had to adapt quickly to a drastic change in a project. How did you manage it?,UX Designer,UX Designer,Dentsu,2024,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Describe a situation where you had to adapt quickly to a drastic change in a project. How did you manage it?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Why do you believe Dentsu's values of collaboration and innovation resonate with your personal work philosophy?,Account Executive,Account Executive,Dentsu,2024,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Why do you believe Dentsu's values of collaboration and innovation resonate with your personal work philosophy?'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
Can you share an instance where you identified a personal weakness and took steps to improve it in a professional context?,Data Analyst,Junior Data Analyst,Dentsu,2023,General CS,"Write a structured answer:
Definition → Working → Example → Use-case",Identify the main concept in: 'Can you share an instance where you identified a personal weakness and took steps to improve it in a professional contex'. What problem does it solve?,"Answer in 3 parts: definition, working, and example."
